,ts,m,m_theoretical,E,C,c_theoretical,kappa,kappa_theoretical,E_square,M_square
21,1.61,-0.019200000000000106,0.9788010617934133,-3.9284,0.06565095826704134,0.6112842897578581,0.31631370293105593,0.09791640735807029,15.577572999999987,0.5097205000000001
22,1.62,-0.02200000000000002,0.9779528123850371,-3.92,0.06671302933089296,0.6188434030009552,0.31134608167839495,0.10057113495628366,15.566831000000002,0.5048554999999999
23,1.6300000000000001,-0.02320000000000011,0.977076500601997,-3.9208,0.06827248090782648,0.626519863836086,0.30945637756073613,0.10334074493687397,15.547213000000006,0.5049439999999998
24,1.6400000000000001,-0.02079999999999993,0.9761712482225482,-3.9244,0.07013215490631015,0.6343173731974996,0.30145686547317063,0.10623212488596338,15.528712000000008,0.4949619999999998
25,1.6500000000000001,-0.02519999999999989,0.9752361399277905,-3.9104,0.07108364459136426,0.6422398099096814,0.30553850696727264,0.10925269392880972,15.514799999999996,0.504751
26,1.6600000000000001,-0.03400000000000003,0.9742702209328977,-3.8896,0.07300010200464783,0.6502912422739494,0.30381081903614476,0.11241045320572628,15.492747000000007,0.5050030000000004
27,1.67,-0.02839999999999998,0.9732724944278598,-3.8996,0.07334803080067058,0.658475940614029,0.30192299028443126,0.11571404206928947,15.483825,0.5049155000000001
28,1.68,-0.02839999999999998,0.9722419188090291,-3.9012,0.07620255098498203,0.6667983908774597,0.302949814732738,0.11917280076010044,15.456212000000004,0.5097364999999998
29,1.69,-0.025800000000000045,0.9711774046805615,-3.9108,0.07647203140506251,0.6752633094012898,0.28965161175798826,0.12279684043349286,15.445201999999993,0.49033050000000017
30,1.7,-0.03600000000000003,0.9700778116023373,-3.8768,0.07794904692040597,0.6838756589637424,0.29085000480941187,0.12659712154455802,15.426537999999999,0.4953290000000002
31,1.71,-0.031199999999999894,0.968941944558107,-3.8896,0.07991918797716076,0.692640666258638,0.28895249285087715,0.13058554175752068,15.403112000000005,0.49506449999999996
32,1.72,-0.036799999999999944,0.967768550114346,-3.8804,0.08275594775013378,0.7015638409466349,0.29294609416220924,0.1347750347325212,15.371293000000007,0.5049444999999999
33,1.73,-0.03499999999999992,0.9665563122365852,-3.8828,0.08267491401115794,0.7106509964571752,0.28843395352080925,0.1391796813639273,15.362550999999987,0.5001065
34,1.74,-0.03079999999999994,0.965303847725713,-3.8928,0.08483954137139484,0.7199082727378106,0.2837767165235632,0.14381483530638092,15.335419000000002,0.49499249999999995
35,1.75,-0.034399999999999986,0.9640097012318367,-3.878,0.08549057137763472,0.7293421611738563,0.28219987391485724,0.14869726493642807,15.320359000000012,0.49513450000000014
36,1.76,-0.03859999999999997,0.9626723397976283,-3.8684,0.08760610115702382,0.7389595319316791,0.2832614475545456,0.1538453142693275,15.291519999999997,0.4999500000000001
37,1.77,-0.038000000000000034,0.9612901468765419,-3.8732,0.08781886674199758,0.7487676640140978,0.2870331746327683,0.15927908579551905,15.282012,0.5094949999999998
38,1.78,-0.043199999999999905,0.9598614157637064,-3.8548,0.09060193157429637,0.7587742783572521,0.285449370058427,0.16502064873544947,15.24694,0.5096970000000001
39,1.79,-0.04360000000000008,0.9583843423684844,-3.848,0.09253395564932988,0.768987574345923,0.27823999971173163,0.17109427685519604,15.215796000000005,0.4998349999999997
40,1.8,-0.0391999999999999,0.9568570172474183,-3.8668,0.09332708477901314,0.7794162701799499,0.279449314986111,0.1775267207638808,15.199247000000007,0.5048624999999998
41,1.81,-0.0464,0.9552774168042716,-3.8508,0.1451918695705234,0.7900696475896567,0.2748010986762431,0.1843475205590461,14.735274000000002,0.5060229999999999
42,1.82,-0.05139999999999989,0.9536433935497833,-3.8356,0.09705144131868067,0.8009576014749544,0.2787400546104394,0.19158936583816,15.143387999999998,0.5094554999999997
43,1.83,-0.042200000000000015,0.9519526652971763,-3.8544,0.0983642841995962,0.8120906951333869,0.26945520463169426,0.1992885115042809,15.115452,0.4954280000000006
44,1.84,-0.05919999999999992,0.9502028031498685,-3.8372,0.10027290214437849,0.8234802218496652,0.2703158663429348,0.20748525952676994,15.087004000000002,0.4998735000000001
45,1.85,-0.049800000000000066,0.9483912181146359,-3.8364,0.10163104518451016,0.8351382737467751,0.2713764689681081,0.21622451895734043,15.060304,0.5047145000000001
46,1.86,-0.052000000000000046,0.9465151461458512,-3.836,0.1032807001549346,0.8470778189509088,0.2723779125801075,0.2255564591554288,15.029366000000005,0.5095065
47,1.87,-0.044399999999999995,0.9445716313934454,-3.8512,0.10486598524521933,0.8593127883047793,0.26570721090909083,0.23553727448461684,15.001049000000005,0.4999349999999999
48,1.8800000000000001,-0.06119999999999992,0.9425575073876756,-3.8192,0.25927007147917214,0.8718581730831909,0.22607563063776612,0.24623008288595366,13.279027999999997,0.4940855000000001
49,1.8900000000000001,-0.057600000000000096,0.9404693758461319,-3.8156,0.11608340975784337,0.8847301354297534,0.2635418696079364,0.2577059859539099,14.858477,0.5025524999999998
50,1.9000000000000001,-0.05820000000000003,0.9383035827307548,-3.8196,0.10944809559113228,0.8979461335553134,0.2611234308373686,0.2700453247526216,14.903999999999996,0.49996650000000037
51,1.9100000000000001,-0.07380000000000009,0.9360561911125362,-3.7888,0.12302425314657281,0.9115250641310775,0.25965739300314133,0.28333917403486664,14.748063000000004,0.5017889999999999
52,1.92,-0.0798000000000001,0.9337229503159132,-3.7828,0.11175971093749623,0.9254874247904681,0.2582768153078126,0.29769112832770867,14.851686999999997,0.5001625000000002
53,1.93,-0.06420000000000003,0.9312992607096556,-3.8028,0.2931873414223219,0.9398555002467087,0.20026480079585468,0.3132194472881816,12.499897,0.5101279999999998
54,1.94,-0.0693999999999999,0.9287801333810852,-3.7952,0.13579755620788508,0.9546535762681062,0.25471554721649486,0.3300596458456921,14.551966000000007,0.503418
55,1.95,-0.06699999999999995,0.9261601437690052,-3.7904,0.31796467040000376,0.9699081866694732,0.16659451276923082,0.34836763835652435,11.854285000000003,0.49707600000000013
56,1.96,-0.09000000000000008,0.9234333781288652,-3.7612,0.17037112450541475,0.9856483996281018,0.24439383215510202,0.36832357726788356,14.097059999999994,0.4990839999999999
57,1.97,-0.08800000000000008,0.9205933714496912,-3.746,0.26236279005797564,1.0019061510853327,0.20749087504111682,0.3901365683744373,12.728233,0.5150415000000002
58,1.98,-0.08200000000000007,0.9176330351204525,-3.7652,0.13574191195183943,1.0187166348427161,0.24566714262626263,0.414050500530444,14.460941999999998,0.496373
59,1.99,-0.09759999999999991,0.9145445722326755,-3.7344,0.12675303564960436,1.0361187613303409,0.24471916170402014,0.4403513031907793,14.536104,0.49492050000000015
60,2.0,-0.08679999999999999,0.911319377877496,-3.7536,0.2628083582789995,1.0541557000851667,0.1999034083795001,0.46937604837790914,12.641023,0.49379750000000017
61,2.0100000000000002,-0.0895999999999999,0.9079479211094437,-3.7492,0.31059973475904384,1.0728755249650197,0.1308342345228856,0.501524456261258,11.433889,0.5000454999999998
62,2.02,-0.09099999999999997,0.9044196043513212,-3.7328,0.2751962862846808,1.0923319863680516,0.17827077479158443,0.5372735627147874,12.198242000000008,0.5124715000000002
63,2.0300000000000002,-0.09600000000000009,0.9007225948275693,-3.7336,0.30337097236040783,1.1125854416915728,0.1453624827586205,0.5771965887984161,11.532445000000006,0.4934669999999998
64,2.04,-0.09959999999999991,0.8968436210282265,-3.7092,0.30617170907247204,1.13370398460996,0.11131935429362746,0.6219874553350625,11.359348999999998,0.4979295000000002
65,2.05,-0.11759999999999993,0.8927677250645332,-3.6884,0.254845446757879,1.1557648264364688,0.19763955487024387,0.6724929712491766,12.494712000000002,0.5148849999999997
66,2.06,-0.11680000000000001,0.8884779588505336,-3.6792,0.3293656156093889,1.1788560002632666,0.08088394721893197,0.729755587336189,10.239755000000002,0.5286915
67,2.07,-0.12519999999999998,0.8839550079917715,-3.6832,0.32777149255385285,1.2030784828427132,-0.1423301185236715,0.7950709000545961,8.575263000000005,0.4750529999999998
